INFO 2025-03-13 14:33:31,397 basehttp "GET /static/admin/img/icon-changelink.svg HTTP/1.1" 200 380
INFO 2025-03-13 14:33:51,274 autoreload Watching for file changes with StatReloader
INFO 2025-03-13 14:33:54,646 basehttp "GET /admin/ HTTP/1.1" 200 20231
INFO 2025-03-13 14:33:55,985 basehttp "GET /admin/ HTTP/1.1" 200 20231
INFO 2025-03-13 14:33:56,718 basehttp "GET /admin/ HTTP/1.1" 200 20231
INFO 2025-03-13 14:34:04,662 basehttp "GET /admin/ HTTP/1.1" 200 20231
INFO 2025-03-13 14:34:05,516 basehttp "GET /admin/ HTTP/1.1" 200 20231
INFO 2025-03-13 14:34:15,479 basehttp "GET /admin/login/?next=/admin/ HTTP/1.1" 302 0
INFO 2025-03-13 14:34:15,632 basehttp "GET /admin/ HTTP/1.1" 200 20231
INFO 2025-03-13 14:34:21,912 basehttp "GET /admin/ HTTP/1.1" 302 0
INFO 2025-03-13 14:34:21,952 basehttp "GET /admin/login/?next=/admin/ HTTP/1.1" 200 4237
INFO 2025-03-13 14:34:22,626 basehttp "GET /static/admin/css/responsive.css HTTP/1.1" 200 17972
INFO 2025-03-13 14:34:22,633 basehttp "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 200 2810
INFO 2025-03-13 14:34:22,634 basehttp "GET /static/admin/js/theme.js HTTP/1.1" 200 1653
INFO 2025-03-13 14:34:22,652 basehttp "GET /static/admin/css/login.css HTTP/1.1" 200 951
INFO 2025-03-13 14:34:22,654 basehttp "GET /static/admin/css/dark_mode.css HTTP/1.1" 200 2804
INFO 2025-03-13 14:34:22,657 basehttp "GET /static/admin/css/base.css HTTP/1.1" 200 22092
INFO 2025-03-13 14:34:22,660 basehttp "GET /static/admin/js/nav_sidebar.js HTTP/1.1" 200 3063
INFO 2025-03-13 14:34:28,881 basehttp "POST /admin/login/?next=/admin/ HTTP/1.1" 302 0
INFO 2025-03-13 14:34:29,022 basehttp "GET /admin/ HTTP/1.1" 200 20231
INFO 2025-03-13 14:34:29,048 basehttp "GET /static/admin/css/dashboard.css HTTP/1.1" 200 441
INFO 2025-03-13 14:34:29,058 basehttp "GET /static/admin/img/icon-changelink.svg HTTP/1.1" 200 380
INFO 2025-03-13 14:34:29,059 basehttp "GET /static/admin/img/icon-addlink.svg HTTP/1.1" 200 331
INFO 2025-03-13 14:34:30,715 basehttp "GET /admin/accounts/organizerprofile/ HTTP/1.1" 200 19034
INFO 2025-03-13 14:34:30,771 basehttp "GET /static/admin/js/jquery.init.js HTTP/1.1" 200 347
INFO 2025-03-13 14:34:30,772 basehttp "GET /static/admin/js/admin/RelatedObjectLookups.js HTTP/1.1" 200 9097
INFO 2025-03-13 14:34:30,777 basehttp "GET /static/admin/css/changelists.css HTTP/1.1" 200 6878
INFO 2025-03-13 14:34:30,786 basehttp "GET /static/admin/js/core.js HTTP/1.1" 200 6208
INFO 2025-03-13 14:34:30,790 basehttp "GET /static/admin/js/prepopulate.js HTTP/1.1" 200 1531
INFO 2025-03-13 14:34:30,790 basehttp "GET /static/admin/js/urlify.js HTTP/1.1" 200 7887
INFO 2025-03-13 14:34:30,792 basehttp "GET /static/admin/js/actions.js HTTP/1.1" 200 8076
INFO 2025-03-13 14:34:30,800 basehttp "GET /static/admin/js/vendor/jquery/jquery.js HTTP/1.1" 200 285314
INFO 2025-03-13 14:34:30,804 basehttp "GET /static/admin/img/search.svg HTTP/1.1" 200 458
INFO 2025-03-13 14:34:30,807 basehttp "GET /static/admin/js/vendor/xregexp/xregexp.js HTTP/1.1" 200 325171
INFO 2025-03-13 14:34:30,813 basehttp "GET /static/admin/js/filters.js HTTP/1.1" 200 978
INFO 2025-03-13 14:34:30,855 basehttp "GET /admin/jsi18n/ HTTP/1.1" 200 8985
INFO 2025-03-13 14:34:30,881 basehttp "GET /static/admin/img/icon-viewlink.svg HTTP/1.1" 200 581
INFO 2025-03-13 14:34:30,881 basehttp "GET /static/admin/img/tooltag-add.svg HTTP/1.1" 200 331
INFO 2025-03-13 14:35:27,332 autoreload C:\Users\tefba\Desktop\OverBrand\EventEz\backend\EventEzBackend\config\settings.py changed, reloading.
INFO 2025-03-13 14:35:28,119 autoreload Watching for file changes with StatReloader
INFO 2025-03-13 14:35:31,026 basehttp "GET /admin/accounts/organizerprofile/ HTTP/1.1" 200 42110
INFO 2025-03-13 14:35:31,155 basehttp "GET /admin/jsi18n/ HTTP/1.1" 200 8985
INFO 2025-03-13 14:35:31,205 basehttp "GET /static/vendor/bootswatch/cosmo/bootstrap.min.css HTTP/1.1" 200 154456
INFO 2025-03-13 14:35:31,209 basehttp "GET /static/vendor/fontawesome-free/css/all.min.css HTTP/1.1" 200 103009
INFO 2025-03-13 14:35:31,214 basehttp "GET /static/jazzmin/css/main.css HTTP/1.1" 200 16969
INFO 2025-03-13 14:35:31,214 basehttp "GET /static/vendor/select2/css/select2.min.css HTTP/1.1" 200 16264
INFO 2025-03-13 14:35:31,223 basehttp "GET /static/vendor/adminlte/css/adminlte.min.css HTTP/1.1" 200 1382975
INFO 2025-03-13 14:35:31,229 basehttp "GET /static/vendor/bootstrap/js/bootstrap.min.js HTTP/1.1" 200 62440
WARNING 2025-03-13 14:35:31,235 basehttp "GET /static/images/logo.png HTTP/1.1" 404 1859
INFO 2025-03-13 14:35:31,244 basehttp "GET /static/jazzmin/js/main.js HTTP/1.1" 200 2391
INFO 2025-03-13 14:35:31,244 basehttp "GET /static/vendor/adminlte/js/adminlte.min.js HTTP/1.1" 200 44244
INFO 2025-03-13 14:35:31,250 basehttp "GET /static/jazzmin/js/ui-builder.js HTTP/1.1" 200 13873
INFO 2025-03-13 14:35:31,251 basehttp "GET /static/vendor/select2/js/select2.min.js HTTP/1.1" 200 73170
INFO 2025-03-13 14:35:31,256 basehttp "GET /static/jazzmin/js/change_list.js HTTP/1.1" 200 2252
INFO 2025-03-13 14:35:35,371 basehttp "GET /static/vendor/bootswatch/darkly/bootstrap.min.css HTTP/1.1" 200 164202
INFO 2025-03-13 14:35:35,456 basehttp "GET /static/vendor/fontawesome-free/webfonts/fa-regular-400.woff2 HTTP/1.1" 200 25392
INFO 2025-03-13 14:35:35,461 basehttp "GET /static/vendor/fontawesome-free/webfonts/fa-solid-900.woff2 HTTP/1.1" 200 156400
WARNING 2025-03-13 14:35:38,179 basehttp "GET /static/images/logo.png HTTP/1.1" 404 1859
ERROR 2025-03-13 14:35:54,178 log Internal Server Error: /admin/events/customformfield/
Traceback (most recent call last):
